year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2016,Robert Garrigus,0.637,0.35,0.734,-0.286,-0.2,303.3,53.91,69.32,70.848,1024900.0,109.0,0.798
2016,Robert Streb,0.21,0.05,0.366,0.209,-0.396,294.7,57.48,66.2,71.223,1003363.0,105.0,0.625
2016,Roberto Castro,0.587,0.217,0.437,0.19,-0.257,284.2,69.37,69.13,70.588,2520574.0,22.0,0.8440000000000001
2016,Rocco Mediate,,,,,,,,,,32000.0,,
2016,Rod Pampling,-0.426,0.222,-0.372,0.199,-0.475,287.7,63.95,64.0,71.607,142433.0,,0.049000000000000016
2016,Rory McIlroy,1.681,1.23,0.447,0.211,-0.207,306.8,61.06,69.62,69.646,5790585.0,1.0,1.8880000000000001
2016,Rory Sabbatini,-1.403,0.115,-0.628,0.054,-0.945,287.6,62.18,64.3,72.451,150236.0,,-0.459
2016,Russell Henley,0.56,0.269,0.136,-0.038,0.193,295.6,63.15,68.27,70.558,1228347.0,87.0,0.36700000000000005
2016,Russell Knox,0.506,0.13,0.356,0.073,-0.054,285.8,68.51,69.73,70.319,4885906.0,10.0,0.5589999999999999
2016,Ryan Moore,0.895,-0.112,0.418,0.237,0.351,283.2,66.52,65.78,70.317,3701034.0,7.0,0.5429999999999999
2016,Ryan Palmer,0.774,0.625,0.242,0.0,-0.094,304.7,57.88,67.83,70.229,1794141.0,34.0,0.867
2016,Ryo Ishikawa,,,,,,,,,,62102.0,,
2016,S.Y. Noh,0.026,-0.637,0.114,0.374,0.176,295.3,49.12,64.54,71.061,661711.0,125.0,-0.14900000000000002
2016,Sam Saunders,-0.232,-0.191,-0.105,0.003,0.06,291.8,59.78,64.36,71.427,510079.0,148.0,-0.293
2016,Scott Brown,0.011,0.545,-0.038,-0.124,0.01,292.5,63.65,65.03,71.098,1143452.0,80.0,0.383
2016,Scott Langley,-0.594,0.105,-0.998,0.254,0.045,285.7,64.81,63.93,71.796,380025.0,,-0.639
2016,Scott Piercy,0.187,0.608,0.116,0.002,-0.292,297.9,59.41,67.33,70.855,2905349.0,37.0,0.726
