year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2023,Matt NeSmith,0.091,0.006,0.245,-0.03,-0.13,297.1,62.27,69.47,70.87,2410629.0,70.0,0.221
2023,Matt Wallace,-0.052,-0.423,0.172,0.228,-0.03,302.7,54.84,64.62,70.98,1451971.0,82.0,-0.022999999999999993
2023,Matthias Schwab,-1.021,-0.443,-0.446,0.242,-0.374,294.0,61.53,65.59,71.907,847328.0,149.0,-0.647
2023,Matti Schmid,-0.18,0.237,-0.016,-0.473,0.071,314.1,59.93,68.57,71.751,1064025.0,148.0,-0.252
2023,Maverick McNealy,0.227,-0.601,-0.269,0.141,0.956,299.9,54.67,63.14,70.509,1328512.0,108.0,-0.729
2023,Max Homa,1.638,0.317,0.475,0.233,0.612,304.8,60.15,66.86,69.516,10761517.0,9.0,1.0250000000000001
2023,Max McGreevy,-1.73,-0.439,-0.79,0.025,-0.527,290.2,59.17,63.59,72.507,422905.0,175.0,-1.2040000000000002
2023,Michael Gligic,-1.409,-0.081,-0.534,-0.513,-0.281,304.6,52.61,64.16,72.794,169449.0,207.0,-1.1280000000000001
2023,Michael Kim,0.35,-0.019,0.224,0.05,0.094,305.0,58.61,68.16,70.764,2206882.0,79.0,0.255
2023,Michael Thompson,,,,,,,,,,438817.0,177.0,
2023,Mike Weir,,,,,,,,,,21438.0,234.0,
2023,Mito Pereira,,,,,,,,,,789784.0,140.0,
2023,Nate Lashley,0.351,-0.105,0.318,0.063,0.074,297.4,60.72,69.73,70.834,1749031.0,97.0,0.276
2023,Nicholas Lindheim,,,,,,,,,,187577.0,217.0,
2023,Nick Hardy,0.144,0.09,0.221,-0.214,0.048,309.2,57.28,69.11,70.694,2845184.0,52.0,0.097
2023,Nick Taylor,0.67,-0.123,0.37,0.181,0.241,293.7,58.49,65.59,70.309,6242461.0,25.0,0.428
2023,Nick Watney,-1.908,-1.343,-0.191,-0.181,-0.193,295.8,48.54,63.45,72.906,263725.0,194.0,-1.715
2023,Nico Echavarria,-0.931,-0.113,-0.416,-0.237,-0.165,299.4,59.67,65.74,71.586,1035131.0,107.0,-0.766
2023,Nicolai Hojgaard,0.731,-0.061,0.36,0.016,0.415,317.7,50.16,68.96,69.994,,,0.315
2023,Padraig Harrington,,,,,,,,,,528807.0,180.0,
2023,Patrick Cantlay,1.869,0.852,0.564,0.147,0.305,308.6,65.51,69.75,69.19,10372998.0,5.0,1.563
2023,Patrick Rodgers,0.493,0.199,-0.059,0.19,0.161,308.8,54.05,65.63,70.321,3026193.0,49.0,0.33
2023,Patton Kizzire,-0.38,-0.266,-0.029,0.031,-0.116,300.8,57.94,66.67,71.319,1161610.0,122.0,-0.264
2023,Paul Haley II,-1.044,-0.352,-0.441,-0.012,-0.238,284.1,65.75,64.79,72.019,755188.0,134.0,-0.8049999999999999
2023,Peter Kuest,0.773,0.488,0.052,-0.342,0.575,321.7,61.27,73.79,70.588,,,0.198
